"d(N,RE)","d(N,LE)","d(N,RM)","d(N,LM)","d(N,F)"
41.08183947,39.20029408,40.01295783,39.87349153,94.5524624
43.99405146,40.60750433,38.06670549,35.26918488,95.33127719
41.73987318,35.42812421,44.44706033,42.31806114,99.58098983
47.45197365,32.29602181,38.19318757,34.0202599,104.4068642
45.69009837,38.21770347,44.47331499,41.68647221,104.5637123
45.92257508,41.45851253,38.15052616,35.72435925,106.440289
47.76134847,36.72704451,40.04086894,35.8004084,103.9281754
43.14421466,35.80803381,39.15555267,39.77047325,104.376485
48.48664129,38.87387934,44.79881998,40.50344024,108.607221
51.33505149,34.0667731,46.53367814,39.68901185,106.6406077
45.97269953,37.7854444,41.2491654,41.32369474,107.211904
51.47056832,36.99654701,45.20464626,35.97185996,103.2089912
49.69480342,37.76684608,39.61258548,36.56042806,103.4972049
50.46337395,36.86852393,39.32988686,34.79371091,105.6140235
49.41336747,44.23922126,39.08313742,36.27195946,98.15775014
45.74396516,39.54772348,40.39705238,38.33449568,97.48895644
49.42643123,42.5237379,38.43074085,36.77008416,100.4573206
47.51698742,40.24513208,40.89856194,38.4200013,99.50030623
47.23306966,41.98054491,40.31764755,37.42100523,98.31534127
51.18119627,40.18437201,42.27423697,40.20174052,97.01753639
43.51560306,39.23440934,40.38185396,33.59714577,93.70461865
41.16116114,42.78238247,34.41117744,37.9689642,94.37772125
45.0657846,39.07611059,40.22716041,38.13102174,93.60908417
42.11265026,39.670426,35.61980993,38.85992376,96.15241975
46.21954626,35.70060218,41.92176668,37.72666183,97.54280832
48.08802341,36.52738815,39.97401606,34.95296824,99.44713502
44.33563942,40.0555267,37.36369066,38.47383968,94.23618113
43.44217299,37.75408773,36.73054532,37.06450351,97.20163938
47.57679834,37.66797362,36.78030352,39.38176841,98.64495026
44.87151788,35.78522447,37.05451716,36.71472646,97.52233992
43.50484825,38.56423836,38.42458258,36.94210158,97.62468255
46.05983503,35.19776846,39.12917363,37.47869669,98.80609363
45.50338034,32.44201248,39.24535545,34.54842542,101.2236891
42.81123279,32.49308435,39.13708806,34.28752728,103.9783084
50.03445781,35.75265125,40.96309708,35.42413448,102.7537847
46.41894137,32.08669445,45.3784851,38.890657,104.2073126
42.95715009,34.09921158,40.23707104,35.07951236,103.0910131
46.97240921,31.59317138,43.91534151,37.186649,103.4621867
50.01343257,34.47857674,39.38646675,34.30943824,106.6016108
48.73150447,30.87041487,41.29739319,36.93867665,109.103101
48.14051157,31.73031969,40.55891596,39.33457503,106.5715571
